group,stock_name
農業科技業,茂生農經
觀光餐旅,安心
食品工業,德麥
觀光餐旅,漢來美食
食品工業,漢田生技
食品工業,生合
電子零組件業,台翰
生技醫療業,精華
電腦及週邊設備業,濱川
電機機械,力肯
電機機械,新麥
其他業,精剛
電機機械,和勤
電機機械,駿吉-KY
運動休閒,祺驊
PCB設備指標,川寶
電機機械,宏佳騰
化學工業,台蠟
生技醫療業,生泰
食品工業,立弘
生技醫療業,合世
生技醫療業,訊聯
半導體化學品指標,光洋科
生技醫療業,杏昌
食品工業,金穎生技
生技醫療業,易威
生技醫療業,寶利徠
玻纖布指標,富喬
鋼鐵工業,唐榮
電器電纜,風青
鋼鐵工業,世鎧
鋼鐵工業,晉椿
鋼鐵工業,世豐
電機機械,世德
電機機械,嘉鋼
電機機械,精湛
鋼鐵工業,雄順
其他業,大甲
居家生活,泰茂
電機機械,謚源
建材營造業,綠意
數位雲端,大車隊
航運業,正德
航運業,捷迅
建材營造業,全心投控
觀光餐旅,燦星旅
其他業,藝舍-KY
觀光餐旅,雅茗-KY
觀光餐旅,瓦城
觀光餐旅,六角
觀光餐旅,易飛網
觀光餐旅,富野
觀光餐旅,華軒
觀光餐旅,山富
觀光餐旅,五福
觀光餐旅,王座
觀光餐旅,豆府
觀光餐旅,亞洲藏壽司
觀光餐旅,揚秦
觀光餐旅,聯發國際
居家生活,滿心
居家生活,宏太-KY
文化創意業,誠品生活
居家生活,集雅社
居家生活,米斯特
居家生活,振宇五金
居家生活,寶陞
數位雲端,欣新網
文化創意業,泰偉
光電業,李洲
居家生活,全域
散熱模組指標,協禧
綠能環保,天方能源
電子零組件業,僑威
CPO矽光子,聯亞
文化創意業,網龍
數位雲端,新零售
文化創意業,華義*
電腦及週邊設備業,艾訊
PCB設備指標,港建*
通信網路業,及成
砷化鎵相關指標,穩懋
電子零組件業,好德
電子零組件業,富榮綱
生技醫療業,進階
MCU指標,笙泉
光電業,昇銳
半導體設備指標,弘塑
LCD驅動IC指標,晶宏
資訊服務業,大綜
通信網路業,璟德
資訊服務業,嘉實
電機機械,精確
CPO矽光子,波若威
半導體業,亞信
居家生活,炎洲流通
生技醫療業,基亞
半導體設備指標,公準
建材營造業,鑫龍騰
電子零組件業,雲嘉南
生技醫療業,佰研
電子零組件業,志豐
被動元件指標,耀勝
週邊產品指標,順達
電腦通路指標,茂訊
電子零組件業,優群
生技醫療業,大學光
其他電子業,倚強科
石英元件指標,台嘉碩
電子通路業,三顧
電機機械,龍鋒
半導體業,原相
MCU指標,金麗科
光電業,錦明
IC零組件通路商指標,昱捷
光纖產品指標,光環
被動元件指標,千如
觀光餐旅,海灣
半導體業,鑫創
記憶體模組指標,威剛
IC封測指標,欣銓
IC封測指標,台星科
半導體業,海德威
電腦及週邊設備業,東碩
印刷電路板指標,宇環
其他業,太普高
TFT面板指標,微端
電腦及週邊設備業,廣寰科
電子零組件業,點晶
電子驗證相關指標,宜特
電子零組件業,東浦
遊戲相關指標,鈊象
電子零組件業,英濟
光電業,杭特
半導體化學品指標,岱稜
通信網路業,鼎天
電子零組件業,佳穎
建材營造業,斐成
分離式元件指標,尼克森
